"","Genotype.CUMS.model...Treatment.Albiflorin","Genotype.CUMS.model...Treatment.Albiflorin.1","Genotype.CUMS.model...Treatment.Albiflorin.2","Genotype.CUMS.model...Treatment.Albiflorin.3","Genotype.CUMS.model...Treatment.Albiflorin.4","Genotype.CUMS.model...Treatment.Albiflorin.5","Genotype.CUMS.model...Treatment.Albiflorin.6","Genotype.CUMS.model...Treatment.Albiflorin.7","Genotype.CUMS.model...Treatment.Saline","Genotype.CUMS.model...Treatment.Saline.1","Genotype.CUMS.model...Treatment.Saline.2","Genotype.CUMS.model...Treatment.Saline.3","Genotype.CUMS.model...Treatment.Saline.4","Genotype.CUMS.model...Treatment.Saline.5","Genotype.CUMS.model...Treatment.Saline.6","Genotype.CUMS.model...Treatment.Saline.7","Genotype.CUMS.model...Treatment.Saline.8","Genotype.CUMS.model...Treatment.Fluoxetine","Genotype.CUMS.model...Treatment.Fluoxetine.1","Genotype.CUMS.model...Treatment.Fluoxetine.2","Genotype.CUMS.model...Treatment.Fluoxetine.3","Genotype.CUMS.model...Treatment.Fluoxetine.4","Genotype.CUMS.model...Treatment.Fluoxetine.5","Genotype.CUMS.model...Treatment.Fluoxetine.6","Genotype.CUMS.model...Treatment.Fluoxetine.7","Genotype.Wild.type...Treatment.Saline","Genotype.Wild.type...Treatment.Saline.1","Genotype.Wild.type...Treatment.Saline.2","Genotype.Wild.type...Treatment.Saline.3","Genotype.Wild.type...Treatment.Saline.4","Genotype.Wild.type...Treatment.Saline.5","Genotype.Wild.type...Treatment.Saline.6","Genotype.Wild.type...Treatment.Saline.7"
"Urea",-1.39262158422703,-1.02684050807142,-0.759779627836902,-0.0206712593237345,-0.327723355999102,0.726564611233815,0.726564611233815,0.0890266008632774,-0.356038677174093,-1.73821415700101,-0.299476018853912,-0.384422310408445,-1.83425559050171,0.00684924508295738,0.43864120297339,0.0616978771481706,0.224726032241042,1.13317130829089,1.2820974774812,-3.01681510386985,1.74163214120932,0.674736288344764,0.648736255068612,-0.759779627836902,0.49151774262826,0.544157697421962,0.465109178746971,-0.441395837096168,1.05799526804048,0.931624447589527,0.43864120297339,0.778165616186807,-0.103621146558408
"Nicotinamide N-oxide",-0.453383100766377,1.29116209252036,0.443689931152253,-1.27229387567253,-1.3375124302383,-0.425046977773967,-2.03072502806998,-0.744149091886502,-0.744149091886502,-1.23994159196406,-0.626191502818503,0.684466483951848,0.541132212238016,-0.257712828541336,0.269368527428398,-0.175719212614482,-0.148628637593025,1.6849054482333,1.09549182029532,-2.37006371475579,0.847582512498234,0.0639129725538119,1.39724209335602,1.05115280967435,-0.744149091886502,0.394384901038322,-0.396840540008737,0.141763640044646,0.492603647378918,0.244058036438119,1.86298481299786,0.115922529255839,0.344682245420979
"Isovalerylcarnitine",0.0537378428182465,0.777826021156287,-0.101983341082598,-0.599318255536499,0.574426567118254,0.639717201658501,0.460961136321095,1.39054652893197,-0.865684605628719,0.808530682321731,1.56512427963009,0.087822054014031,1.76663218511771,-0.410985167691904,0.121527844262182,0.145376336846716,-0.800111916227467,0.695716898673196,0.40477922350332,-1.26161753904439,0.570298901636435,0.0143100484616065,-2.29522004329229,-0.321026067589844,-0.462783727475624,-0.617588506229634,-0.939489063376361,-2.06039499304807,-0.21755048645569,2.39352048070347,-0.266125882655824,-0.521393607500516,-0.729581030339363
"Dihexosylcer(18:1/16:0)",-1.33151894547017,-1.70983256495558,0.600301298960629,0.103951063885538,-1.10930025285389,-0.661533916996342,-0.305039313186614,-1.25312935055761,1.56089786962178,-0.327316549230636,-0.537083512617268,1.24306342535239,-0.561492572699748,-1.12149013179362,0.879911325664805,0.0849864611818434,0.935064335209227,1.77571522423526,1.42950089028291,-1.38853955047386,-0.805829457674349,0.553209611011021,1.57154810352267,-0.778979448554841,0.321165411580367,-0.0518669805685561,0.00768577847773118,-0.0318611735937719,0.537317177583707,0.0466289366504433,-0.879768759729205,-0.611022814672124,1.81465838240797
"Dihexosylcer(18:1/24:1)",0.642359035950685,-2.78047063352881,0.788041779864264,-0.691661840075717,-0.462707748318979,-0.513679983550886,-1.09174399128199,-1.54370610587023,0.716280840956576,0.260331416953591,-0.618913570157201,-0.2226070051989,-0.964729057675682,-1.18022471938206,0.118529177585598,0.0648642108667747,0.382499628853679,2.2733933568336,0.382499628853679,0.131764112461624,-0.192297058812885,1.98077667051665,1.50943089082024,0.105222508294928,0.464538389910768,-0.429304859256371,-0.56573298234374,0.297624404511829,-0.192297058812885,0.370552770856035,-0.691661840075717,0.196889269900452,1.45614036035103
"Butyrylcarnitine",-0.209223221012892,0.13042147309108,-0.843401715850536,-0.906347064466108,-0.0717709771607542,0.4354684217352,0.220358890031926,0.590884246587707,-0.458183583498354,-0.128053530517507,-0.232947519460887,-0.484619286337649,0.390377348234754,0.120209099675294,-0.116686928669868,0.16079082165037,-0.843401715850536,-0.268996542406808,-0.0941199319027704,4.41975980021756,0.548750134044506,-0.232947519460887,-1.12362064621272,0.287969931966964,0.70493334420637,-0.87466028372726,-0.693147682539392,-1.10616321375296,-0.128053530517507,1.88174929299097,-0.55206134709707,-0.484619286337649,-0.038647277652581
"Trimethylamine-N-oxide",0.158277515137743,0.158277515137743,-0.300390528460226,0.00692203880998234,0.924985268482365,0.478636056639914,0.22964198398989,0.187147297080916,0.503035543388342,0.325233006764269,0.215582930477424,0.550909846974698,0.284855657980537,0.51511822978149,0.453917613327229,0.752501818309942,0.654391019716102,0.915263221427796,-2.14275506637877,-0.140498089610984,1.10961316899061,0.022614527101251,1.08304223080852,-1.91621890600509,0.752501818309942,-3.01292864403694,-1.28808103440809,-1.05324522360679,-1.80620066915894,-0.263672209956286,0.201418564721511,0.924985268482365,0.51511822978149
"Thiamine",-0.496905378243347,0.235346824885337,-0.537618137951713,-0.0371635731991092,-1.21813324165011,0.597242650976136,-1.35214901103256,-0.129296601503506,1.62144562339622,0.149757599491654,-1.34052473148537,0.680517511202409,1.14527988829466,-0.278733873729805,1.04279968699655,1.58027943851532,0.188862344720461,0.597242650976136,0.865388457947616,-1.7492599136267,-0.0125196917882842,-0.622421742451488,0.400950704346366,-0.19393026923003,-2.10812238518396,-0.727647706710848,-0.496905378243347,0.243649862400919,-0.0825412826496154,-1.39954381909186,2.24029477557997,0.78594935636347,0.408409361678389
"Propionylcarnitine",-0.82960604337396,-0.409367655090404,-1.24328320570488,-0.920367166551366,-0.533929131977514,1.77740866401928,0.364432853608564,-0.177832404829899,1.48487624638264,-0.0474018149201981,-0.30411268935894,0.0424606242486581,1.16639410310628,-0.705514974546114,0.480358591262012,0.294831720998207,1.48487624638264,-0.38486045842618,1.24102293689865,1.27505738308295,0.671525916144651,0.527245110515112,-1.06000602677469,-0.559257038954689,0.779956068532425,-0.0323006199980805,-0.984997626683218,-1.26301325803042,-0.567731186863231,2.02355928760033,-1.65516709255789,-0.344306972392686,-1.59095038574813
"Trihexosylcer(18:1/16:0)",-1.36175761766055,-1.83373770757166,0.258437699244694,-0.636781466895224,0.288008405334989,-0.567260455236096,0.756515482936594,-2.41360383578281,-0.0712838784181841,0.507696946305841,-0.404915680825527,1.38262924801008,-1.5198985075974,-0.129987553227463,-0.489754374952609,0.175563621767225,0.396343434130702,1.57934742149668,-0.0464767152052679,-1.80379362767054,-0.697696734316182,0.81250864463152,1.77274894963074,-0.129987553227463,0.0186784065563488,1.44302737196786,0.331818641672882,0.800156798825578,-0.121529805109164,0.628164756176511,-0.313413394871229,0.534893822428973,0.855339257450177
