"","Treatment.Healthy","Treatment.Healthy.1","Treatment.Healthy.2","Treatment.Healthy.3","Treatment.Healthy.4","Treatment.Healthy.5","Treatment.Trauma","Treatment.Trauma.1","Treatment.Trauma.2","Treatment.Trauma.3","Treatment.Trauma.4","Treatment.Trauma.5"
"asparagine",10.8610869059954,10.8249587405285,10.7607199474656,12.2249060907198,11.2842457498297,10.4807902010958,9.23601419190008,10.8610869059954,10.9837061926593,11.2064039139738,9.94982671075911,10.1267044728432
"arachidonic acid",10.5264992391366,11.0077281146323,11.3003525603282,10.3365065598103,11.6865005271832,9.99293833616581,11.0887882387169,11.7590559391602,10.311748315005,10.2538474849874,9.91587937883577,11.4304525516655
"arachidic acid",10.664447284548,10.2324209271761,10.2526654324502,9.90989308377004,10.3520434257954,10.6829945836817,9.69696752623429,10.0334230015375,9.7515440590891,9.78463484555752,9.62021982550749,10.2045711442492
"aminomalonate",11.1019756709492,10.5961897561444,11.1299269335104,10.6438561897747,11.753216749179,11.2318211786574,9.02790599656988,10.1446582428319,9.73978060977326,11.2209828510818,8.13442632022093,9.51569983828404
"alpha-ketoglutarate",7.13955135239879,7.44294349584873,7.34872815423108,7.14974711950468,8.44294349584873,7.86418614465428,8.23840473932508,7.55458885167764,8.72109918870719,8.20945336562895,6.14974711950468,7.96578428466209
"alanine",17.5593023963797,17.6354559789583,17.8885946250114,17.7321409208814,17.1782563511506,17.6126021706442,16.4056068593609,15.994265033719,16.8659990161608,16.9210273325989,15.8059201683852,17.3926192944536
"adipic acid",9.4241662888181,8.85798099512757,8.78790255939143,8.65463602852797,9.30149619498255,9.34207466799914,8.81378119121704,8.93369065495223,8.69696752623429,8.97441458980553,8.09803208296053,8.60733031374961
"acetaminophen",7.77478705960117,7.73470962022584,8.08214904135387,7.64385618977472,7.70735913208088,7.94251450533924,7.467605550083,8.04984854945056,12.3072008091408,8.59245703726808,11.4210128557792,7.62935662007961
"5-methoxytryptamine",8.77478705960117,8.14974711950468,7.59245703726808,8.44708322620965,8.91288933622996,9.16741814583174,7.01122725542325,7.75488750216347,8.4757334309664,7.65821148275179,7.36632221424582,7.23840473932508
"3-hydroxybutyric acid",10.2155329997457,13.2488170592785,14.0968798363038,11.9904585650737,13.2651754907889,13.4605838799017,16.7258455143499,15.8486473893654,15.8169836232554,11.5377037479076,12.3682336113809,12.6677768383934
"3-aminoisobutyric acid",9.22881869049588,10.590587049915,9.7176764230664,11.6921795763125,8.19967234483636,9.34872815423108,8.37937836707126,11.2057932493972,8.98299357469431,9.16992500144231,8.40514146313634,9.00281501560705
