Factors,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Albiflorin,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Saline,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:CUMS model | Treatment:Fluoxetine,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline,Genotype:Wild-type | Treatment:Saline
N-oleoylethanolamine,852000,614000,654000,719000,554000,561000,606000,633000,440000,381000,555000,469000,571000,479000,456000,436000,427000,414000,423000,158000,473000,447000,471000,528000,383000,499000,424000,525000,573000,498000,394000,344000,471000
2-Arachidonylglycerol,272000,180000,282000,200000,494000,224000,325000,260000,148000,134000,193000,102000,129000,197000,132000,171000,122000,166000,134000,71400,146000,167000,145000,212000,191000,92800,147000,187000,170000,124000,92300,65900,124000
Testosterone,451000,275000,164000,146000,95700,135000,139000,59400,259000,133000,124000,179000,136000,125000,168000,189000,137000,94700,204000,173000,132000,170000,159000,137000,229000,261000,192000,242000,205000,146000,209000,126000,168000
PC(22:6/P-18:0),90100,67600,70200,72100,83600,63500,83500,73200,75700,43100,162000,83300,54500,70000,56400,81400,67500,90500,60600,192000,126000,71200,98200,74500,114000,65100,74400,83100,66100,80900,62200,88500,74700
PC(16:0/16:0),8910000,8020000,8950000,8550000,9130000,11200000,11600000,9250000,13100000,8270000,11800000,11800000,10900000,11000000,11300000,11800000,12900000,12900000,12300000,20300000,13200000,12500000,13500000,8660000,8840000,14000000,9930000,15600000,9850000,13800000,9900000,11900000,12500000
PC(16:0/18:1),9840000,11400000,8800000,9210000,11600000,10400000,10900000,13400000,12100000,10400000,12100000,12000000,8080000,14700000,11600000,10500000,11400000,12800000,12100000,24300000,13200000,10500000,15600000,9760000,11500000,8320000,7530000,9530000,7390000,8850000,7550000,8010000,7300000
PC(18:0/18:2),10500000,10700000,11000000,12100000,12300000,12800000,12200000,11400000,18500000,15100000,16000000,16200000,12900000,17700000,19700000,15000000,19600000,16200000,13200000,26600000,16000000,14200000,14500000,12700000,17200000,12100000,13800000,12700000,10200000,13300000,13100000,13800000,12300000
Corticosterone,857000,712000,629000,807000,759000,763000,677000,431000,778000,499000,617000,737000,760000,478000,659000,552000,896000,445000,782000,266000,475000,751000,683000,792000,914000,1190000,599000,825000,831000,1470000,956000,872000,684000
Choline,1730000,1870000,1520000,1710000,1200000,1770000,1550000,1300000,1430000,1840000,1460000,2020000,1780000,1600000,1550000,1690000,934000,1690000,1920000,2140000,2210000,1430000,2050000,1670000,1330000,1980000,1610000,1450000,1690000,1400000,2040000,1300000,1460000
Melatonin,123000,215000,134000,102000,172000,184000,153000,270000,124000,126000,117000,101000,278000,142000,195000,189000,71600,134000,248000,142000,220000,144000,62000,170000,139000,85700,111000,61300,145000,473000,112000,177000,106000
Niacinamide,72400000,74000000,73500000,75900000,76300000,82300000,50400000,62700000,48800000,50400000,59700000,56900000,58100000,46000000,53600000,68700000,63800000,89300000,77900000,65500000,72400000,79700000,77700000,78600000,70900000,102000000,76200000,76100000,72300000,130000000,77100000,60400000,73100000
PC(16:0/22:6),2810000,1140000,2010000,2080000,2120000,1570000,2070000,1220000,2280000,1270000,2020000,2420000,2460000,1970000,1550000,2270000,1700000,1870000,2010000,4310000,2140000,1380000,2530000,1810000,2370000,2170000,1660000,1830000,1650000,1700000,1780000,1390000,2280000
PC(16:0/18:2),7490000,8010000,7520000,8750000,8930000,9280000,8650000,7900000,12200000,9890000,10600000,10000000,6950000,11600000,10700000,9970000,11900000,9740000,10500000,17200000,11000000,10000000,11000000,8260000,10200000,7440000,7870000,8900000,6970000,8500000,8120000,7750000,7410000
PC(16:0/20:4),4850000,4150000,3880000,5490000,4740000,3930000,5390000,3160000,5480000,4590000,5060000,5180000,5060000,5010000,4310000,5260000,5230000,4870000,5160000,10600000,5630000,4580000,5570000,4310000,5430000,4400000,4080000,5240000,3740000,4030000,5090000,4670000,4860000
PC(20:4/P-16:0),660000,585000,659000,839000,583000,608000,725000,668000,842000,622000,775000,682000,628000,659000,641000,946000,722000,880000,694000,1530000,849000,971000,844000,849000,966000,922000,748000,826000,823000,909000,745000,648000,802000
Dodecenoylcarnitine,2210000,2200000,1570000,1730000,1050000,652000,398000,1990000,700000,1020000,1950000,1740000,1730000,909000,1030000,1330000,813000,849000,824000,2050000,872000,1200000,803000,2030000,1220000,985000,1200000,953000,852000,2550000,1780000,1040000,1650000
Glucosylceramide(18:1/16:0),85100,63600,113000,115000,134000,89700,115000,73200,125000,172000,139000,202000,102000,104000,194000,143000,158000,243000,129000,78500,95600,147000,191000,122000,190000,113000,98500,167000,117000,138000,97000,136000,234000
L-Palmitoylcarnitine,899000,395000,384000,879000,202000,255000,272000,373000,320000,354000,371000,376000,509000,299000,273000,354000,435000,294000,459000,626000,305000,282000,231000,544000,287000,338000,748000,300000,316000,767000,352000,258000,384000
Oleoylcarnitine,21100000,14600000,21600000,19000000,8300000,8890000,6620000,18400000,7470000,10800000,14400000,13200000,19500000,8910000,6930000,11400000,6100000,10100000,10300000,10100000,9380000,10400000,8080000,26200000,14400000,16000000,16100000,13200000,11800000,40700000,11200000,8250000,23400000
Octadecanoylcarnitine,6470000,5050000,7310000,7070000,4090000,4810000,3630000,5280000,3990000,4470000,6070000,6340000,7060000,4290000,4080000,5020000,3700000,5160000,4730000,4070000,4890000,4990000,3440000,6960000,5740000,6690000,6870000,6070000,5340000,11300000,4700000,4230000,9570000
LysoPC(16:0),33200000,35600000,36300000,34700000,37400000,33000000,35300000,34900000,36000000,36400000,34300000,38800000,36800000,38700000,40600000,36300000,35200000,36600000,43500000,33400000,36100000,32800000,42200000,35400000,36200000,31800000,30900000,35300000,35800000,34300000,33600000,33400000,33500000
Dodecanoylcarnitine,5400000,4540000,4130000,4200000,3010000,2020000,1830000,4980000,1480000,2760000,4200000,2760000,4810000,2560000,2150000,3220000,2160000,2500000,1990000,3680000,2700000,2340000,1900000,4920000,2530000,2510000,2250000,1980000,2100000,5130000,2300000,1820000,3340000
Myristoylcarnitine,11400000,9390000,10000000,10500000,5340000,4400000,3130000,10500000,3470000,5730000,8650000,6750000,10600000,6340000,4860000,7510000,4750000,4820000,4490000,5900000,5740000,5100000,4040000,13700000,6300000,6860000,6300000,6170000,4500000,15000000,5470000,4450000,9710000
Linoleylcarnitine,8770000,7740000,10200000,8930000,4160000,4870000,3180000,7640000,4830000,5980000,7220000,6610000,9840000,5140000,3850000,6280000,3380000,5520000,7110000,6600000,6060000,5870000,4750000,16000000,8910000,9620000,9200000,8120000,6610000,26200000,6930000,4540000,14300000
Cysteamine,3040000,3510000,3110000,3360000,3270000,3550000,3430000,3190000,3320000,2830000,3010000,3410000,2990000,3230000,3390000,3260000,3660000,3490000,3350000,2800000,3660000,3260000,3380000,2880000,4210000,2910000,3330000,2960000,3200000,3360000,3370000,3550000,3220000
Urea,38000000,39200000,40100000,42700000,41600000,45500000,45500000,43100000,41500000,36900000,41700000,41400000,36600000,42800000,44400000,43000000,43600000,47100000,47700000,33100000,49600000,45300000,45200000,40100000,44600000,44800000,44500000,41200000,46800000,46300000,44400000,45700000,42400000
Nicotinamide N-oxide,21700000,28800000,25100000,19000000,18800000,21800000,16800000,20700000,20700000,19100000,21100000,26100000,25500000,22400000,24400000,22700000,22800000,30700000,27900000,15900000,26800000,23600000,29300000,27700000,20700000,24900000,21900000,23900000,25300000,24300000,31600000,23800000,24700000
Isovalerylcarnitine,62000000,78700000,58900000,50000000,73600000,75200000,70900000,96300000,45800000,79500000,102000000,62700000,109000000,53200000,63400000,63900000,46800000,76600000,69600000,40200000,73500000,61200000,28600000,54800000,52300000,49700000,44700000,30900000,56700000,134000000,55800000,51300000,47900000
Dihexosylcer(18:1/16:0),76900,66300,164000,135000,83900,100000,115000,79300,239000,114000,105000,211000,104000,83500,183000,134000,187000,260000,227000,75200,94500,161000,240000,95500,147000,127000,130000,128000,160000,132000,91800,102000,264000
